rep,seed,arm,n,exp,totR,pf,dd,winpct
0,11,FIXED 2R,3548,-0.31577340784053326,-1120.364051018212,0.6276346294051695,1121.6534331873188,29.481397970687713
0,11,RATCHET,3548,-0.2738694619555278,-971.6888510182127,0.5556489881389283,972.044639225633,31.116121758737318
0,11,RATCHET+RUNNER,3548,-0.25542178055966364,-906.2364774256865,0.5855920668619623,906.4675659889758,31.116121758737318
1,12,FIXED 2R,3507,-0.34491416082387116,-1209.613962009316,0.5999429034851564,1215.8089249353034,28.542914171656687
1,12,RATCHET,3507,-0.2837349193069052,-995.0583620093166,0.5439771886811827,997.2052591834545,30.71000855431993
1,12,RATCHET+RUNNER,3507,-0.2652232472220964,-930.137928007892,0.5737294122247196,933.6521894950137,30.71000855431993
2,13,FIXED 2R,3534,-0.30893419603358346,-1091.773448782684,0.6342263569998612,1116.2075078780906,29.76796830786644
2,13,RATCHET,3534,-0.2457409872050607,-868.4486487826846,0.5903424228236421,876.7875468316928,31.975099037917374
2,13,RATCHET+RUNNER,3534,-0.23034658808000655,-814.0448422747431,0.6159972316858664,822.981273276241,31.975099037917374
3,14,FIXED 2R,3475,-0.32141691472367423,-1116.923778664768,0.6210565739297472,1131.831941453466,29.237410071942445
3,14,RATCHET,3475,-0.26658393630640803,-926.3791786647679,0.5714808566310101,934.4942610327075,31.68345323741007
3,14,RATCHET+RUNNER,3475,-0.25105294322829824,-872.4089777183364,0.596428960171021,881.2549511196186,31.741007194244606
4,15,FIXED 2R,3482,-0.35675261551513293,-1242.2126072236929,0.5882865300009702,1246.1189039831982,28.25962090752441
4,15,RATCHET,3482,-0.28333969190801084,-986.5888072236937,0.547847097365367,989.9284755299421,30.930499712808732
4,15,RATCHET+RUNNER,3482,-0.2689611772998769,-936.5228193581714,0.5708289039009259,940.2336978782719,30.873061458931648
5,16,FIXED 2R,3503,-0.3289661126834983,-1152.3682927302946,0.6145331101807737,1162.1722509542576,29.174992863260062
5,16,RATCHET,3503,-0.2869344255581771,-1005.1312927302944,0.5392325306522637,1007.9848051461186,30.316871253211534
5,16,RATCHET+RUNNER,3503,-0.27261566544921517,-954.9726760686008,0.5622260032785247,958.4227577398713,30.316871253211534
6,17,FIXED 2R,3403,-0.30270503563490375,-1030.1052362655776,0.6406682529290934,1030.2060868061133,29.679694387305318
6,17,RATCHET,3403,-0.2675740335778953,-910.5544362655777,0.5676666598484874,910.5544362655763,30.884513664413753
6,17,RATCHET+RUNNER,3403,-0.2532007360373841,-861.642104735218,0.5908883872903682,861.642104735218,30.884513664413753
7,18,FIXED 2R,3428,-0.3155648212335065,-1081.7562071884602,0.6267779313760407,1093.0847256476493,29.55075845974329
7,18,RATCHET,3428,-0.2610951596232383,-895.034207188461,0.5751322321582208,898.6602923568386,31.94282380396733
7,18,RATCHET+RUNNER,3428,-0.24041951384230384,-824.1580934514176,0.6087616651617889,827.665398632681,31.94282380396733
8,19,FIXED 2R,3516,-0.3134308764967539,-1102.0229617625866,0.628319077132425,1102.0229617625894,29.351535836177476
8,19,RATCHET,3516,-0.2631795113090403,-925.3391617625858,0.5655900462627282,927.6175751138736,31.200227531285552
8,19,RATCHET+RUNNER,3516,-0.2434094842327474,-855.8277465623398,0.5981699669098354,861.3934848442988,31.22866894197952
9,20,FIXED 2R,3448,-0.30130441560062704,-1038.897624990962,0.6404814209108264,1043.8685688126259,29.90139211136891
9,20,RATCHET,3448,-0.25285806989297027,-871.8546249909615,0.5810795200657186,874.2858427224199,31.583526682134572
9,20,RATCHET+RUNNER,3448,-0.2329820907539019,-803.3222489194537,0.6140272998491484,805.3683777693733,31.612529002320187
10,21,FIXED 2R,3428,-0.3665667527826792,-1256.5908285390242,0.5763420552878491,1266.3322788191392,27.654609101516918
10,21,RATCHET,3428,-0.2899973245446395,-994.1108285390242,0.5356328458492501,1002.5660817838453,30.280046674445742
10,21,RATCHET+RUNNER,3428,-0.2707852439650807,-928.2518163122966,0.5663828544355993,936.5947513564386,30.30921820303384
11,22,FIXED 2R,3537,-0.33066248643439944,-1169.553214518471,0.6122353056317417,1172.922344534235,29.00763358778626
11,22,RATCHET,3537,-0.26776426760488287,-947.0822145184708,0.5654351774114496,948.4333013188419,31.297709923664122
11,22,RATCHET+RUNNER,3537,-0.2466582702476646,-872.4303018659897,0.5997072003073046,873.7188230564971,31.297709923664122
12,23,FIXED 2R,3516,-0.3081738734142234,-1083.5393389244095,0.6353312681944544,1087.9566634801706,29.69283276450512
12,23,RATCHET,3516,-0.24777444224243736,-871.1749389244097,0.5899359753490853,878.3235161803274,31.79749715585893
12,23,RATCHET+RUNNER,3516,-0.22702798749023687,-798.2304040156728,0.6242558680648028,808.7837286574008,31.79749715585893
13,24,FIXED 2R,3486,-0.29150142329866596,-1016.1739616191495,0.6515433926679354,1023.0610786912079,30.206540447504302
13,24,RATCHET,3486,-0.2561161106193774,-892.8207616191495,0.5773779478112436,895.7306753907415,31.411359724612737
13,24,RATCHET+RUNNER,3486,-0.23940036178381235,-834.5496611783699,0.6049609220320925,837.3181454098637,31.411359724612737
14,25,FIXED 2R,3505,-0.34691214803318354,-1215.9270788563083,0.5954672010639007,1219.0379218267867,28.359486447931527
14,25,RATCHET,3505,-0.2626272978192041,-920.5086788563102,0.5662278740375443,921.812740935665,31.15549215406562
14,25,RATCHET+RUNNER,3505,-0.24308455534195836,-852.0113664735641,0.5985178579614702,853.3351080104802,31.15549215406562
15,26,FIXED 2R,3467,-0.3308175733502201,-1146.9445268052132,0.6129623541831216,1152.8933167699151,28.84338044418806
15,26,RATCHET,3467,-0.28816444384344175,-999.0661268052125,0.5394920676980859,1001.602467396485,30.545139890395156
15,26,RATCHET+RUNNER,3467,-0.2709062803204645,-939.2320738710504,0.567071879743227,941.8314922172725,30.545139890395156
16,27,FIXED 2R,3487,-0.2981251032016817,-1039.562234864264,0.6454959907077458,1039.5622348642655,29.853742472039002
16,27,RATCHET,3487,-0.24293060936743996,-847.0990348642631,0.5977132128178454,847.0990348642646,32.14797820476054
16,27,RATCHET+RUNNER,3487,-0.22359325922925227,-779.6696949324026,0.6297293729961347,779.6696949324026,32.0906223114425
17,28,FIXED 2R,3456,-0.31695072703905997,-1095.3817126469912,0.6243654021953299,1097.367859388911,29.57175925925926
17,28,RATCHET,3456,-0.26408793768720823,-912.6879126469917,0.5679229774267937,915.1271175035016,31.712962962962962
17,28,RATCHET+RUNNER,3456,-0.24189166406627852,-835.9775910130586,0.6042293357115095,838.7397397382202,31.74189814814815
18,29,FIXED 2R,3509,-0.3277126475188288,-1149.9436801435702,0.6147455453135705,1158.0856071641729,29.01111427757196
18,29,RATCHET,3509,-0.2645278655296581,-928.2282801435703,0.5687416622422168,932.0505604145936,31.176973496722713
