arm,path,cost_mult,candidates,orders,filled,skipped,expired,pending,marked,time_exits,total_net_r,gains,losses,wins,mean_net_r,pf,win_rate
baseline,OHLC,1.0,22,22,12,0,10,0,0,5,-4.963978704152055,2.7988913226155705,7.762870026767626,4,-0.41366489201267126,0.3605485230287951,0.3333333333333333
baseline,OHLC,1.5,22,22,12,0,10,0,0,5,-5.116612785966432,2.7624757349846676,7.8790885209511,4,-0.426384398830536,0.35060854153866056,0.3333333333333333
baseline,OLHC,1.0,22,22,12,0,10,0,0,5,-4.963978704152055,2.7988913226155705,7.762870026767626,4,-0.41366489201267126,0.3605485230287951,0.3333333333333333
baseline,OLHC,1.5,22,22,12,0,10,0,0,5,-5.116612785966432,2.7624757349846676,7.8790885209511,4,-0.426384398830536,0.35060854153866056,0.3333333333333333
open_window,OHLC,1.0,30,30,17,0,13,0,0,5,-7.24182607447767,4.769668297257141,12.01149437173481,5,-0.42598976908692177,0.3970919978517429,0.29411764705882354
open_window,OHLC,1.5,30,30,17,0,13,0,0,5,-7.533383841454855,4.718641196947023,12.252025038401879,5,-0.4431402259679326,0.3851315339429399,0.29411764705882354
open_window,OLHC,1.0,30,30,17,0,13,0,0,5,-7.24182607447767,4.769668297257141,12.01149437173481,5,-0.42598976908692177,0.3970919978517429,0.29411764705882354
open_window,OLHC,1.5,30,30,17,0,13,0,0,5,-7.533383841454855,4.718641196947023,12.252025038401879,5,-0.4431402259679326,0.3851315339429399,0.29411764705882354
