period,window,path,cost_mult,quarter,orders,filled,total_net_r,mean_net_r
late,open_window,OHLC,1.0,2025Q1,44,22,5.836125008509316,0.26527840947769615
late,open_window,OHLC,1.0,2025Q2,35,21,5.246655358115291,0.24984073133882337
late,open_window,OHLC,1.0,2025Q3,47,27,6.334344174388377,0.2346053397921621
late,open_window,OHLC,1.0,2025Q4,61,27,3.8074003647132697,0.1410148283227137
late,open_window,OHLC,1.0,2026Q1,50,26,6.202437984370066,0.23855530709115638
late,open_window,OHLC,1.0,2026Q2,34,18,-2.920030739487647,-0.16222392997153592
late,open_window,OHLC,1.5,2025Q1,44,22,5.369617428572584,0.24407351948057202
late,open_window,OHLC,1.5,2025Q2,35,21,4.779592566675274,0.2275996460321559
late,open_window,OHLC,1.5,2025Q3,47,26,5.397516806972152,0.2075968002681597
late,open_window,OHLC,1.5,2025Q4,61,27,2.9523764155047996,0.10934727464832592
late,open_window,OHLC,1.5,2026Q1,50,25,5.91336737753139,0.2365346951012556
late,open_window,OHLC,1.5,2026Q2,34,18,-3.2736760180211917,-0.1818708898900662
late,open_window,OLHC,1.0,2025Q1,44,22,5.836125008509316,0.26527840947769615
late,open_window,OLHC,1.0,2025Q2,35,21,5.246655358115291,0.24984073133882337
late,open_window,OLHC,1.0,2025Q3,47,27,6.334344174388377,0.2346053397921621
late,open_window,OLHC,1.0,2025Q4,61,27,3.8074003647132697,0.1410148283227137
late,open_window,OLHC,1.0,2026Q1,50,26,6.202437984370066,0.23855530709115638
late,open_window,OLHC,1.0,2026Q2,34,18,-2.920030739487647,-0.16222392997153592
late,open_window,OLHC,1.5,2025Q1,44,22,5.369617428572584,0.24407351948057202
late,open_window,OLHC,1.5,2025Q2,35,21,4.779592566675274,0.2275996460321559
late,open_window,OLHC,1.5,2025Q3,47,26,5.397516806972152,0.2075968002681597
late,open_window,OLHC,1.5,2025Q4,61,27,2.9523764155047996,0.10934727464832592
late,open_window,OLHC,1.5,2026Q1,50,25,5.91336737753139,0.2365346951012556
late,open_window,OLHC,1.5,2026Q2,34,18,-3.2736760180211917,-0.1818708898900662
