,n_events,n_used,mean_signed_fwd_8,median_event_range,spread,cost_alive,positive,mean_h1,mean_h4,mean_h8,mean_h24
EURUSD,92,92,-0.0003804766815694058,0.0039049999999999363,8e-05,True,False,-1.6745300879739902e-05,-0.0003144125071163013,-0.0003804766815694058,-0.0006429306513809106
GBPUSD,76,75,-0.00025287601584324525,0.004345000000000043,0.00012000000000000002,True,False,0.0001273144997674899,2.272370220020174e-05,-0.00025287601584324525,-0.0004132349367476525
USDJPY,49,49,-5.630610613486763e-05,0.7740000000000009,0.01,True,False,7.010324902764595e-05,8.938227900888921e-05,-5.630610613486763e-05,0.00014730274464842678
AUDUSD,60,60,-0.00035968050006163026,0.003025,0.0001,True,False,-3.4897130811290905e-05,-7.904563667132936e-05,-0.00035968050006163026,-0.0007260183304381626
USDCAD,72,72,0.00023092306937759952,0.0035450000000000204,0.00012000000000000002,True,True,-0.0001095993372985413,5.907189067747549e-05,0.00023092306937759952,-0.00011530791203190338
GBPJPY,46,46,-0.00048251094144658856,0.8004999999999995,0.025,True,False,-1.969661220366116e-06,-0.0005016643297965049,-0.00048251094144658856,-0.0013912671091946634
XAUUSD,85,84,1.3077650353827897e-05,16.76000000000022,0.2,True,True,0.00012268836788897504,0.000383014727744718,1.3077650353827897e-05,-0.0010489489670667805
US30,120,120,-0.0006356452954572767,198.34999999999854,2.0,True,False,-0.0005485057326704013,-0.0005458176623928631,-0.0006356452954572767,-0.0006232226690138305
BTCUSD,103,103,0.001416435039153465,1206.1800000000076,10.0,True,True,-6.142750195416279e-06,0.0011005060451579562,0.001416435039153465,-8.379104493508666e-05
