q,half_life,n,mean_h8,lo95,hi95,primary
2.0,12,1223,-0.00018804063650840156,-0.0005306270366177177,0.00014880855674440796,False
2.0,24,1326,-0.00012139817669010224,-0.0005016462783355712,0.00025147295672169935,False
2.0,48,1470,7.623401276080518e-05,-0.00027520583209841474,0.00043868136676097777,False
2.5,12,672,0.00012649645814885975,-0.00033175499279777994,0.0005859042487154639,False
2.5,24,701,-1.8779645079366244e-05,-0.00044346658845366595,0.0004380490176454809,True
2.5,48,781,-5.413665607957166e-05,-0.00046669984727520486,0.0003607338215650428,False
3.0,12,430,0.00019166019582375705,-0.0003276878568308831,0.0007196378550562439,False
3.0,24,434,9.591311102219026e-05,-0.0005083412745552395,0.0006783445289903511,False
3.0,48,485,3.281730945035356e-05,-0.0005582216257464468,0.000601704121328653,False
